S. No.,Tests,category_id,Banglore_price,Description
26,"P018 - IRON PROFILE(IRON,UIBC,TIBC, SATURATION %)",BLOOD,450,SERUM
27,"BI066 - ANTI CYCLIC CITRULLINATED PEPTIDE(ANTI CCP),SERUM",BLOOD,"1,100",SERUM
28,"P038 - LIVER PROFILE, SERUM (ALKALINE PHOSPHATASE, BILIRUBIN (TOTAL, DIRECT, INDIRECT), LDH, ALBUMIN, A:G RATIO, TOTAL PROTEIN, SGPT, SGOT, GGT)",BLOOD,675,SERUM
29,"BI097 - PSA (PROSTATE SPECIFIC ANTIGEN) TOTAL, SERUM",BLOOD,700,SERUM
30,"P024 - DOUBLE MARKER TEST, SERUM(PAPP-A & FREE B-HCG)",BLOOD,"1,900",SERUM
31,"BI054 - ALANINE AMINOTRANSFERASE (ALT/ SGPT), SERUM",BLOOD,160,SERUM
32,"BI103 - TESTOSTERONE TOTAL (2ND GENERATION), SERUM",BLOOD,630,SERUM
33,"H012 - ABNORMAL HEMOGLOBIN SCREEN (HB HPLC), BLOOD",BLOOD,715,WHOLE BLOOD EDTA
34,"H009 - ERYTHROCYTE SEDIMENTATION RATE, BLOOD",BLOOD,100,"WHOLE BLOOD
EDTA"
35,"BI052 - RHEUMATOID FACTOR QUANTITATIVE, SERUM",BLOOD,450,SERUM
36,"H022 - PROTHROMBIN TIME, PLASMA",BLOOD,365,PLASMA CITRATE
37,"HI001 - HISTOPATHOLOGY, SMALL SPECIMEN*",Others,340,Tissue-Neutral buffered formalin 10%
38,"IM003 - ANTI NUCLEAR ANTIBODY(ANA), SERUM",BLOOD,710,SERUM
39,"CPN090 - Bio-T  D Plus :( CBC, HBA1C, Glucose Fasting, Lipid Profile, LFT, Blood Urea Nitrogen (BUN) Creatinine, Uric Acid, Calcium, Thyroid Profile Total )",BLOOD,"1,000","FASTING PLASMA FLUORIDE, SERUM, WB EDTA,"
40,"BI062 - URIC ACID, SERUM",BLOOD,145,SERUM
41,"BI089 - INSULIN FASTING, SERUM",BLOOD,720,FASTING SERUM
42,"BI088 - HOMOCYSTEINE, SERUM",BLOOD,"1,000",SERUM
43,"BI013 - CALCIUM, SERUM",BLOOD,170,SERUM
44,P004 - HAEMOGRAM,BLOOD,340,"WHOLE BLOOD
EDTA"
45,"BI072 - CA-125, CANCER MARKER, SERUM",BLOOD,"1,000",SERUM
46,"P036 - KIDNEY FUNCTION TEST, SERUM (URIC ACID, UREA, CREATININE, PROTEIN TOTAL, ALBUMIN, A:G RATIO, ALKALINE PHOSPHATASE, CALCIUM, PHOSPHORUS,
SODIUM, POTASSIUM, CHLORIDE)",BLOOD,700,SERUM
47,"BI085 - FOLLICLE STIMULATING HORMONE, SERUM",BLOOD,390,SERUM
48,"BI092 - LUTEINIZING HORMONE, SERUM",BLOOD,385,SERUM
49,"PN315 - NIROGYAM E (CBC, DLC, ESR, HBA1C, FBS, LIPID, BLR, SGPT, SGOT, ALP, GGT, PROTEIN TOTAL, ALB, GLOBULIN, A:G RATIO, BUN, CREATININE, URIC ACID, CAL, SODIUM, POTASSIUM, CHLORIDE, TFT, VIT D, VIT B12)",BLOOD,"1,050","SERUM, WB EDTA,
Plasma Fluoride"
50,H005 - BLOOD GROUP (ABO & RH),BLOOD,100,WHOLE BLOOD EDTA
51,"H015 - HLA B27, BLOOD",BLOOD,"1,900",WHOLE BLOOD EDTA / HEPARIN
52,"BI053 - ASPARTATE AMINOTRANSFERASE (AST/SGOT), SERUM",BLOOD,160,SERUM
53,"MI026 - CULTURE, AEROBIC & SUSCEPTIBILITY, MISCELLANEOUS",Others,490,"PUS/TISSUE/SEMEN
/ WOUND/ ABSCESS/ BAL FLUID/ALL KINDS OF TIP, SKIN, SKIN- SCRAPPING, MENSTRUAL BLOOD, MILK ETC"
54,"PN058 - TORCH PANEL, IGG & IGM",BLOOD,"1,900",SERUM
55,P200 - Microalbumin / Creatinine Ratio,URINE,400,URINE
56,P200 - MICROALBUMIN / CREATININE RATIO,URINE,400,URINE
57,"CPN1030 - ANTINATEL BASIC  -
(CBC,Glucose Random, Blood group(ABO&RH) , Urine- R/M,RPR (VDRL),HBsAg,HIV 1& 2 ,TSH ,HCV)",BLOOD,"1,000","PLASMA FLUORIDE, SERUM, WB EDTA, URINE"
58,"MI051 - CHIKUNGUNYA IGM, RAPID, SERUM",BLOOD,900,SERUM
59,"BI038 - LIPASE, SERUM",BLOOD,600,SERUM
60,"CPN072 - Bio-T Plus : (CBC , Glucose Fasting, Lipid Profile, Blood Urea Nitrogen (BUN), Creatinine, Uric Acid, Calcium, LFT, Thyroid Profile, Total )",BLOOD,800,"FASTING PLASMA FLUORIDE, SERUM, WB EDTA,"
61,"CPN1037 - Kidney Screen Panel (Urea, Creatinine, Electrolytes)",BLOOD,250,SERUM
62,MI029 - BLOOD CULTURE - BACTEC,BLOOD,900,INOCULATED BACTEC BOTTLE
63,"BI008 - BILIRUBIN, SERUM",BLOOD,275,SERUM
64,"BI082 - ESTRADIOL (E2) , SERUM",BLOOD,500,SERUM
65,"BI099 - PARATHYROID HORMONE INTACT, SERUM",BLOOD,"1,480",SERUM/PLASMA EDTA
66,"BI004 - AMYLASE,SERUM",BLOOD,400,SERUM
67,"MI002 - ACID FAST BACILLI STAIN, 3 - SAMPLES",SPUTUM/URINE,290,SPUTUM/URINE
68,MI001 - AFB (ACID FAST BACILLI) STAIN,SPUTUM/URINE,210,"ALL SAMPLES  - SPUTUM/ BAL/ ALL BODY FLUIDS/ URINE/ PUS/ WOUNDS/ TISSUE/ MENSTRUAL BLOOD
/ ASPIRATES :"
69,LQ138 - GENEXPERT MTB/RIF,SPUTUM/URINE,"3,110","Sputum, BAL, other respiratory samples/ Extra pulmonary samples- Pus abscess and aspirate (FNA)"
70,"BI043 - MICROALBUMIN, RANDOM  URINE",URINE,500,URINE
71,"IM201 - TB PLATINUM IGRA, BLOOD",BLOOD,"2,600",Whole Blood
72,"BI010 - BLOOD UREA NITROGEN (BUN), SERUM",BLOOD,130,SERUM
73,LP009 - PROCALCITONIN,BLOOD,"2,100",Serum
74,"BI076 - CARCINO EMBRYONIC ANTIGEN (CEA), SERUM",BLOOD,630,SERUM
75,"BI068 - THYROID PEROXIDASE ANTIBODIES (ANTI TPO) , SERUM",BLOOD,"1,050",SERUM
76,"BI087 - FREE THYROXINE(FT4), SERUM",BLOOD,390,SERUM
77,"H010 - G-6-PD ACTIVITY QUALITATIVE, BLOOD",BLOOD,700,"WHOLE BLOOD
EDTA"
78,"BI095 - PROGESTERONE, SERUM",BLOOD,550,SERUM
79,CP009 - STOOL ROUTINE EXAMINATION,STOOL,120,STOOL
80,"BI084 - FOLATE, SERUM",BLOOD,"1,000",SERUM
81,"P207 - PROTEIN/CREATININE RATIO, RANDOM URINE",URINE,250,URINE
82,"P202 - QUADRUPLE MARKER TEST, SERUM((AFP, HCG & ESTRIOL UNCONJUGATED (E3), INHIBIN A, MATERNAL SERUM)",BLOOD,"2,800",SERUM
83,"BI019 - CREATINE PHOSPHOKINASE-MB,SERUM",BLOOD,390,SERUM
84,"H017 - MALARIA ANTIGEN, BLOOD",BLOOD,590,"WHOLE BLOOD
EDTA"
85,"BI077 - CORTISOL MORNING, SERUM",BLOOD,495,SERUM (TIMING- 8 AM-10 AM)
86,"H020 - PERIPHERAL BLOOD SMEAR EXAMINATION, BLOOD",BLOOD,130,WHOLE BLOOD EDTA
87,"BI079 - C-PEPTIDE, SERUM",BLOOD,"1,100",SERUM
88,SE006 - *HIV DETECTION (CARD TEST),BLOOD,350,SERUM
89,"MI044 - WIDAL TEST,  SERUM",BLOOD,220,SERUM
90,"BI007 - ANTI STREPTOLYSIN O QUANTITATIVE,SERUM",BLOOD,450,SERUM
91,"LQ035 - ANTI NUCLEAR ANTIBODY / FACTOR, IFA, SERUM",BLOOD,900,3 ml Serum
92,"H004 - APTT, PLASMA",BLOOD,550,PLASMA CITRATE (PLATELET POOR PLASMA TO BE SEPARATED WITHIN 1 HOUR OF SAMPLE COLLECTION)
93,BI204 - GLOMERULAR FILTRATION RATE (EGFR),BLOOD,245,SERUM
94,"BI041 - MAGNESIUM, SERUM",BLOOD,425,SERUM
95,"P023 - TRIPLE MARKER TEST, SERUM((AFP, HCG & ESTRIOL UNCONJUGATED (E3), MATERNAL SERUM)",BLOOD,"2,350",SERUM
96,SE004 - *HEPATITIS B SURFACE ANTIGEN (CARD TEST),BLOOD,300,SERUM
97,"BI046 - PHOSPHORUS INORGANIC,SERUM",BLOOD,200,SERUM
98,"H025 - RETICULOCYTE COUNT, BLOOD",BLOOD,290,"WHOLE BLOOD
EDTA"
99,"MI027 - CULTURE AEROBIC & SUSCEPTIBILITY, SPUTUM",BLOOD,490,SPUTUM
100,"BI202F - ADENOSINE DEAMINASE, FLUID (ADA)",BLOOD,660,"BODY FLUID, PLEURAL FLUID, PERITONEAL/ ASCITIC"
101,"BI018 - CHOLESTEROL TOTAL, SERUM",BLOOD,135,"FASTING SERUM (12-
14 Hrs.)"
102,"BI020 - CREATINE KINASE (CK- NAC), SERUM",BLOOD,270,SERUM
103,"P027 - FT4 & TSH (ULTRASENSITIVE), SERUM",BLOOD,460,SERUM
104,"P027 - FT4 & TSH, SERUM",BLOOD,460,SERUM
105,"BI035 - IRON, SERUM",BLOOD,320,SERUM
106,"BI060 - UREA, SERUM",BLOOD,125,SERUM
107,"BI064 - ALPHA FETO PROTEIN(AFP), CANCER MARKER,SERUM",BLOOD,850,SERUM
108,"IM034 - ANTI PHOSPHOLIPID ANTIBODY IGG, SERUM",BLOOD,900,SERUM
109,"IM035 - ANTI PHOSPHOLIPID ANTIBODY IGM, SERUM",BLOOD,900,SERUM
110,"HI002 - HISTOPATHOLOGY, MEDIUM SPECIMEN*",Others,770,Tissue-Neutral buffered formalin 10%
111,"BI058 - TRIGLYCERIDES, SERUM",BLOOD,240,FASTING SERUM (12- 14Hrs.)
112,"MI048 - TYPHOID IGM RAPID, SERUM",BLOOD,390,SERUM
113,"LQ093 - N-TERMINAL PRO B TYPE NATRIURETIC PEPTIDE(NT-
PROB)",BLOOD,"2,390",3 ml of Serum
114,"BI050 - PROTEIN, 24 HRS URINE",URINE,200,24 Hrs. URINE
115,"LQ0129 - PROTEIN, TOTAL AND PROTEIN ELECTROPHORESIS",BLOOD,770,SERUM
116,"MI035 - AFB CULTURE, BACTEC-MGIT",SPUTUM/URINE,"1,200","ALL SAMPLES  - SPUTUM/ BAL/ ALL BODY FLUIDS/ URINE/ PUS/ WOUNDS/ TISSUE/ MENSTRUAL BLOOD
/ ASPIRATES :   2-10 ML"
117,"BI074 - CA-19.9, CANCER MARKER, SERUM",BLOOD,"1,300",SERUM
118,"H011 - HEMOGLOBIN, BLOOD",BLOOD,90,"WHOLE BLOOD
EDTA"
119,SE005 - *HEPATITIS C ANTIBODIES (CARD TEST),BLOOD,675,SERUM
120,"H016 - MALARIA PARASITE SMEAR, BLOOD",BLOOD,130,WHOLE BLOOD EDTA
121,"H007 - COOMBS INDIRECT (ICT), SERUM",BLOOD,490,SERUM
122,"MI045 - DENGUE COMBO SCREEN (NS1 ANTIGEN, IGM, IGG ANTIBODY), RAPID, SERUM",BLOOD,"1,100",SERUM
123,"MI045 - DENGUE COMBO SCREEN, RAPID, SERUM",BLOOD,"1,100",SERUM
124,"BI086 - FREE TRI-IODOTHYRONINE(FT3), SERUM",BLOOD,390,SERUM
125,"CP018 - URINE SUGAR,PP",URINE,90,URINE
126,"CMP007 - AMH COMB0( LH.FSH,Prolactin,AMH)",BLOOD,"1,700",SERUM
127,"IM007 - CARDIOLIPIN ANTIBODIES IGG, SERUM",BLOOD,750,SERUM
128,"IM008 - CARDIOLIPIN ANTIBODIES IGM, SERUM",BLOOD,750,SERUM
129,"BI080 - DHEA-SULPHATE, SERUM",BLOOD,950,SERUM
130,"BI048 - POTASSIUM, SERUM",BLOOD,170,SERUM
131,"IM036 - RUBELLA IGG, SERUM",BLOOD,500,SERUM
132,"CP017 - URINE SUGAR, FASTING",URINE,90,URINE
133,"PN067 - ANTI THYROID ANTIBODIES PANEL (ANTI TG, ANTI TPO)",BLOOD,"1,800",SERUM
134,"BI009 - BILIRUBIN TOTAL, SERUM",BLOOD,130,SERUM
135,"IM019 - HEPATITIS B ENVELOPE ANTIGEN (HBEAG), SERUM",BLOOD,800,SERUM
136,"HI003 - HISTOPATHOLOGY, LARGE  SPECIMEN*",Others,"1,430",Tissue-Neutral buffered formalin 10%
137,"BI090 - INSULIN POST PRANDIAL, SERUM",BLOOD,750,POST PRANDIAL SERUM
138,"BI104 - TESTOSTERONE  FREE, SERUM",BLOOD,"1,000",SERUM
139,"BI011 - CALCIUM IONISED, SERUM",BLOOD,500,SERUM
140,"P008 - GLUCOSE (FASTING & PP), PLASMA",BLOOD,160,"FASTING & PP
PLASMA  Fluoride"
141,"P008 - GLUCOSE (FASTING & PP), PLASMA",BLOOD,160,"FASTING & PP
PLASMA  Fluoride"
142,"IM023 - HEPATITIS C ANTIBODY (ANTI HCV), SERUM",BLOOD,825,SERUM
143,"IM023 - HEPATITIS C ANTIBODY (ANTI HCV), SERUM",BLOOD,825,SERUM
144,"LV129 - KAPPA / LAMBDA LIGHT CHAINS, FREE, SERUM",BLOOD,"4,860",3 ml of Serum
145,"LV129 - LUPUS ANTICOAGULANT SCREENING (DRVVT), PLASMA",BLOOD,900,Citrated  Platelet Poorplasma
146,"P005 - ABSOLUTE CD3, CD4, CD8 COUNT, BLOOD",BLOOD,"2,000",WHOLE BLOOD EDTA
147,"H027 - ABSOLUTE CD4 COUNT, BLOOD",BLOOD,"1,200",WHOLE BLOOD EDTA
148,"H001 - ABSOLUTE EOSINOPHIL COUNT(AEC), BLOOD",BLOOD,160,"WHOLE  BLOOD
EDTA"
149,"LQ032 - ANGIOTENSIN CONVERTING ENZYME (ACE), SERUM",BLOOD,"1,000",2 ml Serum
150,CY004 - BODY FLUIDS CYTOLOGY  FOR MALIGNANT CELLS,Others,700,"5 ml In BAL In LBC Container; 1 ml of CSF; 2 ml of Drain Fluid; 2 ml of Discharge Or Smears; 2 ml of Nipple Discharge/slides; 2 ml of Fluid Or Smears; 2 ml of Body Fluid; 2 ml of Pericardial Fluid; 2 ml of Peritoneal Fluid; 2 ml of Pleural Fluid; ""2 ml of Sputum in sterile container; 2 ml of Synovial Fluid; 10 ml of Urine; 2 ml Ascitic
Fluid"
151,"LQ040 - B-TYPE NATRIURETIC PEPTIDE, (BNP) PLASMA",BLOOD,"1,860",3 ml of EDTA Plasma
152,"H006 - COOMBS DIRECT (DCT), BLOOD",BLOOD,370,"WHOLE BLOOD
EDTA"
153,"MI028 - CULTURE,  AEROBIC & SUSCEPTIBILITY, STOOL",STOOL,490,STOOL
154,MDIL053 - MTB DETECTION TEST BY RT-PCR,SPUTUM/URINE,"2,200",Sputum Body Fluids Tissue
155,"MI043 - RPR-RAPID PLASMA REAGIN (SYPHILIS ANTIBODY), TEST",BLOOD,180,SERUM
156,MI031 - SWAB CULTURE (MISCELLANEOUS),Others,490,"ALL SWAB EXCEPT THROAT & VAGINAL SWAB  -  e.g.- EAR SWAB/ EYE SWAB/ NASAL SWAB/ NASOPHARENGEAL SWAB/ BUCCAL SWAB/ GENITAL SWAB/ URETHRAL SWAB, ETC."
157,"BI078 - CORTISOL EVENING, SERUM",BLOOD,495,"SERUM (TIMING- 4
PM -5 PM)"
158,MI040 - GRAM STAIN,SPUTUM/URINE,210,"ALL SAMPLES: - SPUTUM/BAL/ALL BODY FLUIDS/URINE/PUS/ WOUNDS/TISSUE/M ENSTRUAL BLOOD, ASPIRATES, SKIN & SCRAPPING etc."
159,"BI031 - HIGH SENSITIVE C-REACTIVE PROTEIN(HS_CRP), SERUM",BLOOD,770,SERUM
160,"BI033 - IMMUNOGLOBULIN G ( IGG ), SERUM",BLOOD,440,SERUM
161,"PN223 - LIVER & KIDNEY PANEL (TOTAL BILIRUBIN, SGOT, SGPT, ALKALINE PHOSPHATASE, GGT, LDH, PROTEIN TOTAL, ALBUMIN, GLOBULIN, A:G RATIO, UREA CREATININE, URIC ACID, SODIUM, POTASSIUM, CHLORIDE,
CALCIUM, PHOSPHOROUS",BLOOD,"1,200",SERUM
162,"BI098 - PSA FREE(PROSTATE SPECIFIC ANTIGEN), SERUM",BLOOD,"1,100",SERUM
163,"IM037 - RUBELLA  IGM, SERUM",BLOOD,500,SERUM
164,"IM040 - TISSUE TRANSGLUTAMINASE IGA, SERUM",BLOOD,850,SERUM
165,"BI003 - ALKALINE PHOSPHATASE,SERUM",BLOOD,160,SERUM
166,"IM004 - ANTI- DS DNA, SERUM",BLOOD,"1,045",SERUM
167,LP017 - BICARBONATE,BLOOD,470,Serum
168,MI030 - BODY FLUID CULTURE ( EXCEPT CSF ),Others,550,"ALL BODY FLUIDS, PLEURAL FLUID,PERICARDIAL, PERITONEAL EXCEPT CSF"
169,"P020 - COMPLEMENT C3 & C4, SERUM",BLOOD,"1,350",SERUM
170,"MI201 - FLUID ROUTINE EXAMINATION, MISCELLANEOUS",BLOOD,350,"BODY FLUIDS OTHER THAN PLEURAL, ASCITIC, SYNOVIAL, PERICARDIAL"
171,"BI027 - GAMMA GLUTAMYL TRANSFERASE(GGT), SERUM",BLOOD,250,SERUM
172,"IM015 - HAV IGM (HEPATITIS A VIRUS, IGM), SERUM",BLOOD,975,SERUM
173,MDIL037 - HBV VIRAL LOAD DETECTION (QUANTIFICATION) TEST,BLOOD,"4,800",EDTA PLASMA
174,"CPN001 - HEALTH WELLNESS PROFILE (CBC, ESR HBA1C, BSF, KFT, LFT, LIPID PROFILE, IRON PROFILE, TFT, MALB/CREAT RATIO, URINE R/M)",BLOOD,"1,100","WHOLE BLOOD EDTA, PLASMA FLUORIDE, SERUM, URINE"
175,"CPN103 - SENIOR CITIZEN PANEL(CBC, T-BIL,SGPT,SGOT,PROTEIN TOTAL,GGT,ALB,ALP,GLB,A:G RATIO,VIT B12,VIT D,URIC ACID,FBS,,CK,CAL,LIPID PROFILE,BUN, TFT, IRON PROFILE,HbA1c)",BLOOD,"1,400","Serum, EDTA Whole Blood"
176,"PN014 - ANEMIA PROFILE I
(CBC, IRON, TIBC, % TRANSFERRIN SATURATION, CRP, RETICULOCYTE COUNT)",BLOOD,"1,150","WHOLE BLOOD EDTA, SERUM"
177,"CP001 - ASCITIC/PERITONEAL FLUID, ROUTINE EXAMINATION",BLOOD,390,ASCITIC FLUID /
178,"LV078 - BETA 2 GLYCOPROTEIN IGG, SERUM",BLOOD,"1,000",Serum
179,"LV079 - BETA 2 GLYCOPROTEIN IGM, SERUM",BLOOD,"1,000",Serum
180,"CPN010 - Bio-T Profile : Lipid Profile, Blood Urea Nitrogen (BUN), Creatinine, Uric Acid,Calcium, LFT, Iron Profile, Thyroid Profile, Total",BLOOD,800,SERUM
181,SC002 - *BLEEDING TIME & CLOTTING TIME,BLOOD,80,BLOOD DROP
182,"IM021 - HBSAG (HEPATITIS B SURFACE ANTIGEN) , SERUM",BLOOD,390,SERUM
183,MDIL036 - HBV DETECTION (QUALITATIVE),BLOOD,"3,900",EDTA PLASMA
184,"MI049 - HIV WESTERN BLOT ASSAY, SERUM",BLOOD,"3,190",SERUM
185,"BI037 - LACTATE DEHYDROGENASE (LDH), FLUID",BLOOD,320,BODY FLUIDS
186,"CP004 - PLEURAL FLUID, ROUTINE EXAMINATION",BLOOD,390,PLEURAL FLUID
187,"BI051 - PROTEIN TOTAL , SERUM",BLOOD,165,SERUM
188,"BI049 - PROTEIN, RANDOM URINE",URINE,175,URINE
189,"MI042 - TPHA (TREPONEMA PALLIDUM) HAEMAGGLUTINATION, SERUM",BLOOD,475,SERUM
190,SE008 - *TROPONIN I,BLOOD,"1,000",SERUM/PLASMA
191,"PN248 - AMH PLUS
(LH, FSH, PRL, E2, TESTOSTERONE, TESTOSTERONE FREE, TSH ULTRA, AMH, PRGE)",BLOOD,"2,600",SERUM
192,"LV021 - ANA, 17 ANTIGENS IMMUNOBLOT, SERUM",BLOOD,"3,140",3 ml of Serum
193,"PN040 - ANTENATAL PANEL 2
( CBC, Blood Group,  Urine R/M, HIV-1&2, HBsAg, RPR (VDRL), Random Blood  Sugar, TSH,HCV)",BLOOD,"1,600","PLASMA FLUORIDE, SERUM, WB EDTA, URINE"
194,LV036 - ANTI SMOOTH MUSCLE ANTIBODIES (ASMA),BLOOD,"1,810",2 ml of Serum
195,"BI021 - COMPLEMENT C3, SERUM",BLOOD,735,SERUM
196,"BI116 - CREATININE, RANDOM URINE",RANDOM URINE,220,RANDOM URINE
197,LV040 - DHT- DI HYDRO TESTOSTERONE,BLOOD,"2,190",Serum
198,LM006 - FECAL  CALPROTECTIN,URINE,"2,470",100 gms of stool in sterile container
199,"P011 - GTT-2, GLUCOSE TOLERANCE TEST (MODIFIED GTT), WITH 75 GM GLUCOSE, PLASMA",BLOOD,210,FASTING PLASMA FLUORIDE
200,"P011 - GTT-2,GLUCOSE TOLERANCE TEST(MODIFIED GTT)",BLOOD,210,FASTING PLASMA FLUORIDE
201,"IM014 - HEPATITIS A VIRUS IGG (HAV IGG), SERUM",BLOOD,"1,090",SERUM
202,"IM017 - HEPATITIS B CORE TOTAL ANTIBODY,SERUM",BLOOD,950,SERUM
203,"IM018 - HEPATITIS B ENVELOPE ANTIBODY (HBEAB), SERUM",BLOOD,800,SERUM
204,"IM025 - HEPATITIS E VIRUS IGM, SERUM",BLOOD,"1,350",SERUM
205,"CPN1039 - Liver Screen Panel   (SGOT, ,ALP, Bilirubin , Total
Protien)",BLOOD,200,SERUM
206,CY002 - PAPANICOLAOU SMEAR (CONVENTIONAL),BLOOD,580,Ecto & Endo cervical brushings
207,CP008 - STOOL OCCULT BLOOD,STOOL,100,STOOL
208,"PN052 - THALASSEMIA PROFILE (CBC, IRON, TIBC, % TRANSFERRIN SATURATION,  HB HPLC)",BLOOD,"1,400","WHOLE BLOOD EDTA, SERUM"
209,"PN057 - TORCH PANEL, IGM PANEL",BLOOD,"1,100",SERUM
210,"LV001 - WEIL-FELIX TEST, SERUM",BLOOD,810,Serum
211,"LV010 - ADRENO CORTICOTROPIC HORMONE (ACTH), PLASMA",BLOOD,"1,470",2 ml EDTA Plasma
212,"PN247 - AMENOHRREA PLUS
(LH, FSH, PRL, E2, TSH)(ONLY FOR FEMALES)",BLOOD,"1,500",SERUM
213,"LQ031 - ANDROSTENEDIONE, SERUM",BLOOD,"1,710",2 ml Serum
214,"PN015 - ANEMIA PROFILE II  (CBC, IRON, TIBC, % TRANSFERRIN SATURATION, CRP, RETICULOCYTE COUNT, FERRITIN)",BLOOD,"1,500","WHOLE BLOOD EDTA, SERUM"
215,"PN037 - ARTHRITIS PANEL 1 (CBC, ESR, CRP, RA FACTOR, ANA, UREA, URIC ACID, SGPT, SGOT, URINE R/M)",BLOOD,"2,300","SERUM, WB EDTA, URINE"
216,"CPN1028 - Arthritis Screen Panel (CBC,RA Factor,Vit D & ESR,URIC ACID)",BLOOD,"1,250","WHOLE BLOOD EDTA, SERUM"
217,"MI202 - BLOOD CULTURE-ANAEROBIC, BACTEC",BLOOD,"1,400",INOCULATED BACTEC BOTTLE
218,"BI069 - CALCIUM, RANDOM URINE",URINE,209,"24Hrs.URINE, (HCL)"
219,"IM009 - CMV IGG (CYTOMEGALOVIRUS IGG), SERUM",BLOOD,590,SERUM
220,"P015 - CREATININE CLEARANCE, SERUM & URINE",BLOOD,320,"SERUM, 24 Hrs.
URINE Plain"
221,"MI032 - CULTURE, AEROBIC & SUSCEPTIBILITY,THROAT SWAB",THROAT SWAB,490,THROAT SWAB
222,"PN032 - DIABETES SCREEN (FASTING BLOOD SUGAR, PP BLOOD SUGAR, URINE SUGAR FASTING, URINE SUGAR PP)",BLOOD,200,"FASTING PLASMA FLUORIDE, PLASMA FLUORIDE 2 Hrs., URINE FASTING, URINE 2 Hrs."
223,"PN246 - FERTILITY PLUS (FSH, LH PROLACTIN, ESTRADIOL, PROGESTERONE, AMH, TSH)",BLOOD,"2,400",SERUM
224,"PN004 - Fever Panel-1 (CBC, WIDAL ESR, Malaria Parasite Smear,URINE R/M,SGPT &SGOT)",BLOOD,550,"SERUM, WB EDTA, URINE"
225,CY001 - FNAC (FINE NEEDLE ASPIRATION CYTOPATHOLOGY),Others,700,Aspirate from lumps
226,"BI114 - GLUCOSE ( 2 HRS AFTER 75 G GLUCOSE), PLASMA",BLOOD,140,"PLASMA FLUORIDE
2Hrs."
227,"LQ067 - GROWTH HORMONE, SERUM",BLOOD,710,"2 ml of Serum In Fasting
And Resting"
228,"IM024 - HEPATITIS E VIRUS IGG ANTIBODY, SERUM",BLOOD,"1,320",SERUM
229,"IM026 - HIV I & II (HUMAN IMMUNODEFICIENCY VIRUS), ANTIBODIES SERUM",BLOOD,430,SERUM
230,"PN063 - HIV MONITOR (HIV VIRAL LOAD, CD4 ABSOLUTE, CD8 ABSOLUTE)",BLOOD,"7,150","EDTA PLASMA, WB EDTA"
231,"BI032 - IMMUNOGLOBULIN A (IGA), SERUM",BLOOD,450,SERUM
232,"BI091 - INSULIN RANDOM, SERUM",BLOOD,720,SERUM
233,"LV158 - LEPTOSPIRA ANTIBODY, IGM, SERUM",BLOOD,"1,240",Serum
